Complaint #,Description,Label
98,Repeated attempts to contact customer service via phone resulted in busy lines.,Service Complaints
99,Website's online chat support feature was unavailable when needed.,Service Complaints
100,Staff member displayed a lack of knowledge about train schedules and ticketing options.,Service Complaints
101,Complaint email regarding a service issue received no response.,Service Complaints
102,Information provided by staff regarding a service issue was inaccurate or misleading.,Service Complaints
103,Train conductor made no announcements regarding the reason for a significant delay.,Service Complaints
104,"Staff member refused to help with a luggage issue, directing me elsewhere.",Service Complaints
105,Customer service representative was unhelpful and dismissive during a phone call.,Service Complaints
106,Onboard staff provided no assistance to passengers with disabilities.,Service Complaints
107,Repeatedly placed on hold for extended periods when calling customer service.,Service Complaints
108,Complaint tweet regarding a service issue was ignored by the official train company account.,Service Complaints
109,Station staff provided conflicting information about platform changes.,Service Complaints
110,"Train announcement system malfunctioned, leaving passengers uninformed about delays.",Service Complaints
111,Staff member argued with a passenger instead of trying to resolve their complaint.,Service Complaints
112,Website offered no clear options for filing a formal service complaint.,Service Complaints
113,Customer service representative used unprofessional language during a phone call.,Service Complaints
114,Train attendant offered no alternative options when a food service item was unavailable.,Service Complaints
115,Station staff provided no assistance to a passenger who missed their train due to a delay.,Service Complaints
116,Waited for over an hour on hold before reaching a customer service representative.,Service Complaints
117,Received a generic automated response to a detailed email complaint.,Service Complaints
118,Train attendant displayed impatience and hostility when dealing with a passenger inquiry.,Service Complaints
119,"Website's ""Help Center"" section lacked relevant information for my service issue.",Service Complaints
120,Complaint voicemail box for customer service was full and wouldn't accept messages.,Service Complaints
121,Staff member seemed disinterested in helping and offered minimal assistance.,Service Complaints
122,Train conductor made no attempt to maintain order or address disruptive passengers.,Service Complaints
123,Customer service representative made promises regarding a resolution that were not kept.,Service Complaints
124,Website crashed while attempting to submit a service complaint online.,Service Complaints
125,Staff member blamed passengers for a train delay caused by a technical issue.,Service Complaints
126,Onboard announcements were unclear and difficult to understand.,Service Complaints
127,Repeated emails to customer service received no response or resolution.,Service Complaints
128,Station staff provided no information on alternative travel options due to a cancellation.,Service Complaints
129,Rude remarks and discriminatory behavior from a staff member.,Service Complaints
130,Train attendant offered no help to a passenger with a medical emergency.,Service Complaints
131,No clear signage or information available regarding platform changes.,Service Complaints
132,Inconsistent information provided by different staff members regarding the same issue.,Service Complaints
133,Complaint left on the train company's social media page was met with negative comments from other users.,Service Complaints
134,Customer service representative hung up the phone abruptly during a conversation.,Service Complaints
135,Website's FAQ section offered no answers to my specific service complaint.,Service Complaints
136,Station staff seemed overwhelmed and unable to manage passenger inquiries effectively.,Service Complaints
137,"Train announcement system malfunctioned, causing confusion and panic among passengers.",Service Complaints
138,Staff member ignored my questions,Service Complaints
139,"Payment went through for a ticket, but no confirmation or ticket received.",Booking Issues
140,"Booking system malfunctioned, charged for a non-existent reservation.",Booking Issues
141,"Website crashed during checkout, unsure if ticket purchase was successful.",Booking Issues
142,"Attempted booking resulted in an error message, unclear on how to proceed.",Booking Issues
143,Ticket purchased online never arrived via email as promised.,Booking Issues
144,"Received a confirmation email with incorrect travel details (date, time, destination).",Booking Issues
145,"Tried to modify an existing reservation, but the system wouldn't allow changes.",Booking Issues
146,Unable to cancel a booking online despite being within the cancellation window.,Booking Issues
147,"Canceled a trip, but no refund was processed for the ticket.",Booking Issues
148,Booking system double-booked the same seat for multiple passengers.,Booking Issues
149,Website wouldn't recognize a valid discount code during checkout.,Booking Issues
150,"Attempted to book a ticket, but the system displayed no available seats for the chosen route/date (despite showing availability earlier).",Booking Issues
151,Booking confirmation email contained a broken link to the e-ticket download page.,Booking Issues
152,Received a notification that my booking was canceled due to unknown reasons.,Booking Issues
153,"Unable to select specific seats during the booking process, even though advertised as available.",Booking Issues
154,Chosen travel insurance option wasn't reflected in the final booking confirmation.,Booking Issues
155,Ticket purchased at a self-service kiosk wouldn't scan at the departure gate (potentially due to a ticketing system error).,Booking Issues
156,Booking system wouldn't allow adding additional luggage to an existing reservation.,Booking Issues
157,"Attempted to use a travel voucher for booking, but the system wouldn't accept it due to unknown reasons.",Booking Issues
158,"Booking confirmation email arrived significantly later than expected, causing concern about the validity of the booking.",Booking Issues
159,"Canceled a booking within the allowed timeframe, but received a partial refund only (no explanation provided).",Booking Issues
160,"Website wouldn't allow booking a ticket for a specific passenger type (child, senior) despite advertised options.",Booking Issues
161,"Attempted to book a connecting journey, but the system wouldn't display combined ticket options, forcing separate bookings.",Booking Issues
162,Booking system processed a ticket for a different route than the one originally selected (no explanation provided).,Booking Issues
163,"Received multiple booking confirmation emails for the same travel itinerary, causing confusion.",Booking Issues
164,"Unable to change a passenger name on a booking despite extenuating circumstances (e.g., illness), incurring additional fees.",Booking Issues
165,"Booking system wouldn't allow selecting a preferred meal option during the reservation process, despite advertised choices.",Booking Issues
166,"Attempted to book a group ticket, but the system wouldn't allow assigning seats together, causing inconvenience.",Booking Issues
167,"Booking confirmation email arrived with a misspelled passenger name, potentially causing issues at boarding.",Booking Issues
168,Website displayed an error message after entering valid passenger information repeatedly.,Booking Issues
169,"Mobile booking app malfunctioned during checkout, preventing successful ticket purchase.",Booking Issues
170,"Booking system wouldn't allow selecting a specific departure station, limiting travel options.",Booking Issues
171,"Attempted to redeem loyalty points for a discount during booking, but the system encountered an error.",Booking Issues
172,Booking confirmation email lacked crucial information like the train number or carriage details.,Booking Issues
173,Website redirected users to a non-functional booking page during the reservation process.,Booking Issues
174,Train experienced an unexpected delay with no prior announcement or explanation.,Train Delays
175,"Frequent delays on the same route became a recurring issue, disrupting travel plans.",Train Delays
176,"Train announcement system malfunctioned, leaving passengers uninformed about the reason for a delay.",Train Delays
177,"Information screens at the station displayed inaccurate delay times, causing confusion.",Train Delays
178,Train journey significantly exceeded the scheduled travel time due to an unexplained delay.,Train Delays
179,Missed connecting transportation due to a train delay the company did not acknowledge.,Train Delays
180,Repeated announcements regarding a minor delay kept changing the estimated arrival time.,Train Delays
181,Train conductor offered no explanation or apology for a lengthy and unexpected delay.,Train Delays
182,Website and mobile app displayed conflicting information regarding train delays.,Train Delays
183,"Station staff provided inaccurate updates on the duration of the delay, causing frustration.",Train Delays
184,"Train experienced multiple delays throughout the journey, significantly impacting travel time.",Train Delays
185,No alternative travel options were offered during a significant train delay.,Train Delays
186,"Information boards displayed outdated arrival times, failing to reflect the ongoing delay.",Train Delays
187,"Train departure was delayed due to technical issues, but no estimated wait time was provided.",Train Delays
188,Public announcements regarding the delay were unclear and difficult to understand.,Train Delays
189,"Information screens malfunctioned, displaying no updates on the ongoing train delay.",Train Delays
190,Missed important appointments or events due to a frequent occurrence of train delays.,Train Delays
191,Train company offered no compensation for significant delays caused by unforeseen circumstances.,Train Delays
192,Station staff were unable to answer passenger inquiries regarding the reason for a delay.,Train Delays
193,"Information regarding a delay was only available through the train company's social media channels, not at the station.",Train Delays
194,Train journey became significantly more expensive due to missed connections caused by a delay.,Train Delays
195,Repeated calls to the customer service hotline resulted in busy signals during a train delay.,Train Delays
196,Website crashed while attempting to check for updates on a train delay.,Train Delays
197,Train announcement system provided conflicting information about the cause and duration of the delay.,Train Delays
198,Station staff provided no assistance to passengers with limited mobility during a lengthy delay.,Train Delays
199,"Train cancellation was announced at the last minute, causing scrambling to find alternative travel options.",Train Delays
200,"No clear explanation provided for a train cancellation, leaving passengers frustrated and confused.",Train Delays
201,Received notification of a train cancellation only after arriving at the station.,Train Delays
202,Inaccurate information on the train company's website regarding a train cancellation.,Train Delays
203,Booking system didn't automatically notify passengers about a train cancellation on their booked route.,Train Delays
204,Train company offered limited or inconvenient rebooking options following a cancellation.,Train Delays
205,"Frequent delays on the same route became the norm, making it impossible to rely on the schedule.",Train Delays
206,"Train announcement system malfunctioned entirely during a delay, leaving passengers uninformed.",Train Delays
207,Information screens displayed incorrect arrival times even after the delay had ended.,Train Delays
208,Station staff provided misleading information about the cause and duration of a delay.,Train Delays
209,Train cancellation resulted in missing crucial business meetings or events.,Train Delays
210,No alternative transportation options were offered during a significant train cancellation.,Train Delays
211,Train company's website crashed due to high traffic volume during a major delay.,Train Delays
212,Frequent crashes during booking or accessing information.,website and app issues
213,"Crashes mid-payment, preventing booking completion.",website and app issues
214,"Crashes while logged in, causing loss of booking details.",website and app issues
215,"Website downtime during peak hours, disrupting user experience.",website and app issues
216,"App freezes during seat selection, requiring restart.",website and app issues
217,Error messages displayed when viewing ticket details.,website and app issues
218,App crashes during ticket payment.,website and app issues
219,"Unexpected app logout, losing booking information.",website and app issues
220,"Errors after app update, hindering schedule checks.",website and app issues
221,Extremely slow loading times for basic information.,website and app issues
222,"Significant lag within the app, hindering booking process.",website and app issues
223,"Sluggish website navigation, causing frustration.",website and app issues
224,"Long processing times for actions within the app, delaying ticket purchase.",website and app issues
225,"Poor website responsiveness, leading to lengthy booking confirmation.",website and app issues
226,"1.  Trying to book my train ticket, the website kept crashing.",website and app issues
227,"2.  Every time I visit the train website, it crashes.",website and app issues
228,3.  I was almost done paying for my ticket when the website crashed.,website and app issues
229,4.  I was logged in and checking my booking details when the website crashed.,website and app issues
230,"5.  The train website went down during rush hour, causing inconvenience.",website and app issues
231,"6.  The website layout is so confusing, making it hard to find anything, especially how to book a ticket.",website and app issues
232,7.  The website lacks clear instructions on how to purchase tickets with discount codes.,website and app issues
233,8.  The website offers no live chat support for troubleshooting booking problems.,website and app issues
234,9.  The website's ticket booking confirmation emails often arrive late or not at all.,website and app issues
235,"10. The website uses outdated security protocols, making me hesitant to enter my payment information.",website and app issues
236,11. The website doesn't offer any information about accessibility options on trains or at stations.,website and app issues
237,12. The website lacks clear cancellation and refund policies for train tickets.,website and app issues
238,13. There's no way to contact customer support directly from the website.,website and app issues
239,14. The train website doesn't offer any information about onboard amenities like Wi-Fi availability.,website and app issues
240,15. The website search function is terrible. I can barely find the information I'm looking for.,website and app issues
241,"16. Just as I was about to choose my seat on the app, it froze.",website and app issues
242,17. This error message keeps popping up on the app whenever I try to see my ticket information.,website and app issues
243,18. The app keeps crashing every time I attempt to pay for my train ticket.,website and app issues
244,"19. I was using the app when it unexpectedly logged me out, wiping out all the details of my booking!",website and app issues
245,"20. Updated the train app, and now it shows errors whenever I try to check train schedules.",website and app issues
246,21. The mobile app uses so much data! It drained my phone battery before my trip even started.,website and app issues
247,22. There's no option to switch languages on the train app. This makes it impossible for me to understand anything.,website and app issues
248,23. The app doesn't work properly on my phone model. It keeps crashing and freezing.,website and app issues
249,24. The mobile app doesn't offer push notifications for train schedule updates or delays.,website and app issues
250,25. The mobile app doesn't offer any seat selection options. I have no control over where I sit.,website and app issues
251,26. The app doesn't give clear instructions on how to use stored payment methods for faster booking.,website and app issues
252,27. There's no way to contact customer support directly from the mobile app.,website and app issues
253,28. The mobile app doesn't integrate with any travel planning apps or calendars.,website and app issues
254,29. The app doesn't have a feature to save favorite train routes for easy booking later.,website and app issues
255,30. The train app constantly logs me out. It's inconvenient to have to log in every time I want to check something.,website and app issues
256,31. The train website is painfully slow. It takes forever to even load the basic train schedule information.,website and app issues
257,"32. The app is so laggy, it makes booking a train ticket incredibly difficult.",website and app issues
258,33. Trying to navigate the train website is a nightmare. Every page takes ages to load.,website and app issues
259,34. Every action I take on the app takes forever to process. This is delaying my train ticket purchase.,website and app issues
260,35. The website is so unresponsive. It took ages to confirm my booking even after I paid for the ticket.,website and app issues
261,36. There are way too many distracting pop-ups on the train website.  They make it hard to navigate and find what I need.,website and app issues
262,Error message during checkout: Payment gateway unavailable.,Payment issues
263,Transaction processing failed due to a payment gateway error.,Payment issues
264,"Tried multiple times to pay for a ticket, but kept getting a payment gateway error message.",Payment issues
265,"The website kept redirecting me between the payment gateway and booking page, causing confusion.",Payment issues
266,Payment gateway timed out during checkout. Now I have to start the booking process all over again.,Payment issues
267,No clear information displayed about which payment methods are accepted.,Payment issues
268,"Error message: ""Your bank is not supported.""",Payment issues
269,The payment gateway security check took an unreasonably long time.,Payment issues
270,"Website froze after entering payment information, unsure if payment went through.",Payment issues
271,"Received error message stating ""invalid security code"" for payment method (even though it's correct).",Payment issues
272,"Payment gateway didn't recognize 3D Secure authentication, preventing purchase.",Payment issues
273,Website didn't offer troubleshooting options for payment gateway errors.,Payment issues
274,No contact information displayed for the payment gateway company.,Payment issues
275,Concerned about the security of payment information after a payment gateway error.,Payment issues
276,Payment gateway error message didn't provide specific details about the problem.,Payment issues
277,"My bank account was debited for the ticket, but the booking confirmation never arrived.",Payment issues
278,"Received notification from bank about a failed transaction, but train website shows payment as successful.",Payment issues
279,"Despite sufficient funds, payment for the train ticket kept getting declined.",Payment issues
280,No clear explanation provided for why a legitimate payment transaction failed.,Payment issues
281,"Bank statement shows a pending charge for the train ticket, but the booking never went through.",Payment issues
282,"Contacted train service provider regarding a failed transaction, but received no helpful response.",Payment issues
283,Worried that my bank account might be charged twice due to a failed transaction attempt.,Payment issues
284,The process to claim a refund for a failed train ticket transaction is overly complicated.,Payment issues
285,It took a very long time to receive a refund for a failed train ticket payment.,Payment issues
286,The train website didn't offer live chat support to address failed transaction issues.,Payment issues
287,Discovered an unauthorized charge for a train ticket I never purchased.,Payment issues
288,Someone used my payment information to book a train ticket without my knowledge.,Payment issues
289,Concerned about the security of payment information stored on the train booking website.,Payment issues
290,No clear way to report suspected unauthorized charges on the train website.,Payment issues
291,Train service provider's response to a report of unauthorized charges was slow and unhelpful.,Payment issues
292,Felt frustrated and violated after discovering unauthorized train ticket charges on my account.,Payment issues
293,The process of disputing unauthorized charges for train tickets is lengthy and inconvenient.,Payment issues
294,Difficulty getting in touch with customer support to resolve unauthorized charges.,Payment issues
295,The train booking website should implement stronger security measures to prevent unauthorized transactions.,Payment issues
296,Unsure if personal information is safe after experiencing unauthorized charges on my account.,Payment issues
297,Worried about the possibility of future fraudulent activity on the payment method used for train bookings.,Payment issues
298,Recommendations for stronger password and security protocols not provided by the train booking website.,Payment issues
299,"No two-factor authentication offered on the train website, making it easier for unauthorized access.",Payment issues
300,The train booking website should offer the option to disable account information storage after purchases.,Payment issues
301,Feeling unsafe using the train booking website after encountering unauthorized charges.,Payment issues
302,My luggage never arrived at my destination after a train journey.,Lost items
303,The train staff was unhelpful in assisting with my lost luggage.,Lost items
304,The process for reporting lost luggage on the train website is confusing and time-consuming.,Lost items
305,The train company offered no updates on the status of my lost luggage for several days.,Lost items
306,"I never received my lost luggage back, despite filing a proper report.",Lost items
307,The train company's compensation policy for lost luggage is inadequate.,Lost items
308,My lost luggage contained valuable items that were not covered by the train company's policy.,Lost items
309,The train station lacked proper facilities for storing lost and found luggage.,Lost items
310,I was unable to locate a contact phone number for the lost and found department at the train station.,Lost items
311,The train company's lost and found website is outdated and difficult to navigate.,Lost items
312,The search options on the train company's lost and found website are limited and ineffective.,Lost items
313,I believe my lost luggage may have been stolen on the train.,Lost items
314,The train company did not take any security measures to prevent luggage theft.,Lost items
315,I am concerned about the safety of my belongings when traveling by train.,Lost items
316,The train company should offer a more reliable baggage handling system.,Lost items
317,I left my phone on the train and was unable to retrieve it.,Lost items
318,The train staff did not announce any lost and found items during my journey.,Lost items
319,There were no clear instructions on how to report lost personal belongings on the train.,Lost items
320,The train station lost and found department had limited operating hours.,Lost items
321,I never received a response from the train company after inquiring about my lost belongings.,Lost items
322,My lost personal belongings had sentimental value that cannot be replaced.,Lost items
323,The train company should provide more secure storage for lost and found items.,Lost items
324,The train carriages should be designed to minimize the risk of passengers leaving belongings behind.,Lost items
325,I am disappointed with the train company's lack of effort to reunite passengers with lost items.,Lost items
326,The train company should implement a system for notifying passengers about lost and found items.,Lost items
327,I was unable to claim my unclaimed property at the train station due to unreasonable time restrictions.,Lost items
328,The train company did not notify me about my unclaimed property in a timely manner.,Lost items
329,The process for claiming unclaimed property at the train station was overly bureaucratic.,Lost items
330,The train company disposed of my unclaimed property before the designated holding period.,Lost items
331,I believe the train company may have mishandled my unclaimed property.,Lost items
332,The train company's policy for unclaimed property is unclear and lacks transparency.,Lost items
333,There should be a more efficient system for reuniting passengers with unclaimed property.,Lost items
334,The train company should offer longer holding periods for unclaimed property.,Lost items
335,The train company should improve communication regarding unclaimed property with passengers.,Lost items
336,The train company should implement a more user-friendly system for claiming unclaimed property.,Lost items
337,My luggage never arrived at my destination after a train journey.,Lost items
338,The train staff was unhelpful in assisting with my lost luggage.,Lost items
339,The process for reporting lost luggage on the train website is confusing and time-consuming.,Lost items
340,The train company offered no updates on the status of my lost luggage for several days.,Lost items
341,"I never received my lost luggage back, despite filing a proper report.",Lost items
342,The train company's compensation policy for lost luggage is inadequate. (Expand: Detail specific limitations or unfair aspects of the policy),Lost items
343,My lost luggage contained valuable items that were not covered by the train company's policy. (Expand: Include examples of excluded items),Lost items
344,"The train station lacked proper facilities for storing lost and found luggage. (Describe specific issues like overcrowding, lack of security)",Lost items
345,"I was unable to locate a contact phone number for the lost and found department at the train station. (Mention alternative methods attempted, like email or social media)",Lost items
346,The train company's lost and found website is outdated and difficult to navigate. (Describe specific user interface problems),Lost items
347,The search options on the train company's lost and found website are limited and ineffective. (Give examples of how the search function fails),Lost items
348,I believe my lost luggage may have been stolen on the train. (Describe suspicious circumstances or security concerns),Lost items
349,The train company did not take any security measures to prevent luggage theft. (Specify missing security features like CCTV cameras or baggage seals),Lost items
350,I am concerned about the safety of my belongings when traveling by train. (Expand on specific anxieties related to baggage handling),Lost items
351,The train company should offer a more reliable baggage handling system. (Suggest specific improvements like baggage tracking or priority tags),Lost items
352,The train seats were uncomfortable and offered little legroom for a long journey.,Amenities Issues
353,"The air conditioning system on the train was malfunctioning, making the journey hot and stuffy.",Amenities Issues
354,The train lacked basic amenities like a proper dining car or vending machines for snacks and drinks.,Amenities Issues
355,"The onboard entertainment system wasn't working, leaving passengers with limited options to pass the time.",Amenities Issues
356,"The train was overcrowded, making it difficult to move around or find a comfortable seat.",Amenities Issues
357,The train lacked sufficient charging points for passengers' electronic devices.,Amenities Issues
358,The promised Wi-Fi connection on the train was either unavailable or very slow.,Amenities Issues
359,The lighting on the train was dim and inadequate for reading or working.,Amenities Issues
360,"The train was not properly cleaned before departure, leaving trash and debris on the seats and floor.",Amenities Issues
361,The designated luggage storage areas on the train were overflowing and inconvenient to access.,Amenities Issues
362,"The train was not accessible for passengers with disabilities, lacking ramps or designated seating.",Amenities Issues
363,"The train made numerous unscheduled stops, significantly extending the travel time.",Amenities Issues
364,The train departed late and there were no announcements or explanations for the delay.,Amenities Issues
365,The train staff was unhelpful and unresponsive to passenger concerns about the amenities.,Amenities Issues
366,The overall condition of the train did not meet the standards advertised by the train company.,Amenities Issues
367,"The train coaches were filthy, with overflowing garbage bins and visible stains on the seats and walls.",Amenities Issues
368,The toilets in the train coaches were not cleaned properly and had an unpleasant odor.,Amenities Issues
369,"There was a lack of basic hygiene supplies like soap, toilet paper, or hand sanitizer in the train toilets.",Amenities Issues
370,"Food and drink spills were left uncleaned on the train floor, creating an unsanitary environment.",Amenities Issues
371,The train company did not appear to have any cleaning procedures in place for maintaining the coaches.,Amenities Issues
372,The dirty conditions on the train made the journey unpleasant and potentially hazardous to health.,Amenities Issues
373,I witnessed passengers with allergies experiencing discomfort due to the dust and dirt in the train coaches.,Amenities Issues
374,The presence of insects and vermin on the train was a major concern for hygiene.,Amenities Issues
375,The train company should invest in a more thorough cleaning process for the train coaches.,Amenities Issues
376,"Passengers deserve to travel in a clean and hygienic environment, and the train company is failing to meet this expectation.",Amenities Issues
377,The toilets on the train were malfunctioning and unusable throughout the entire journey.,Amenities Issues
378,"The train staff was unable to fix the non-functional toilets on the train, causing major inconvenience.",Amenities Issues
379,The lack of functioning toilets on a long train journey created a very unsanitary situation.,Amenities Issues
380,"Passengers were forced to hold onto their waste due to the non-functional toilets, causing discomfort and frustration.",Amenities Issues
381,The train company should ensure that all toilets on the train are properly functioning before departure.,Amenities Issues
382,Passengers should be informed in advance if there are any known issues with the toilets on the train.,Amenities Issues
383,The train company should offer alternative solutions or compensation for passengers who experience non-functional toilets.,Amenities Issues
384,The lack of functioning toilets is a serious health and safety concern that needs to be addressed by the train company.,Amenities Issues
385,This incident has negatively impacted my perception of the train company's hygiene standards.,Amenities Issues
386,"Passengers deserve a basic level of comfort and hygiene on train journeys, and non-functional toilets fall short of this expectation.",Amenities Issues
387,"The promised ""first-class"" seating offered minimal upgrades compared to standard class.",Amenities Issues
388,"The lack of luggage assistance services made it difficult to manage heavy bags, especially for elderly or disabled passengers.",Amenities Issues
389,"The promised ""scenic route"" turned out to be a boring and uneventful journey with limited views.",Amenities Issues
390,The train company failed to provide promised amenities like travel pillows or blankets during the journey.,Amenities Issues
391,The lack of designated smoking areas on the train forced smokers to hold in their needs for extended periods.,Amenities Issues
392,"The train made unnecessary stops at stations not listed on the schedule, significantly extending the travel time.",Amenities Issues
393,"The promised ""family-friendly"" features on the train were limited or unavailable during the journey.",Amenities Issues
394,The train company failed to disclose any known maintenance issues with the train amenities before departure.,Amenities Issues
395,"The promised ""express"" train made numerous stops, defeating the purpose of the faster travel time.",Amenities Issues
396,The train company should offer a refund or partial compensation for passengers who experience significant amenity issues during their journey.,Amenities Issues
397,"The train seats were stained and ripped, creating an unhygienic and uncomfortable environment.",Amenities Issues
398,"A strong unpleasant odor permeated the train coaches, making the journey unbearable.",Amenities Issues
399,"The windows on the train were filthy, obstructing the view and reducing natural light.",Amenities Issues
400,Broken seats and malfunctioning tray tables hampered the comfort and functionality of the travel experience.,Amenities Issues
401,The presence of graffiti and vandalism on the train coaches created a negative and unsafe atmosphere.,Amenities Issues
402,The lack of proper ventilation in the train coaches caused stale air and a stuffy feeling.,Amenities Issues
